layer_unique_number,layer_distribution_folder,layer_filename_pattern,layer_filename_shortname,layer_gee_id,layer_gee_product_list,layer_filename_sld,variable_generic_name,layer_display_type,layer_theme,layer_title,layer_title_description,layer_units,layer_derivation_url,layer_description_url,layer_organization,layer_contact,layer_contact_email,layer_data_license,layer_data_license_url,layer_citation_date,layer_citation_title,layer_citation_doi,layer_download_url,layer_zenodo_deposit,layer_metadata_url,layer_public_download
1.11,layers250m,dtm_dev-magnitude_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_dev-magnitude_merit.dem_m,DTM_DEV-MAGNITUDE_MERIT-DEM_M,"deviation,merit,dem",dtm_dev-magnitude_merit.dem_m.sld,dev-magnitude,2D_N,dtm,Maximum multiscale deviation,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using WHITEBOX and Equi7 grid system.",10 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://github.com/jblindsay/whitebox-tools/blob/master/WhiteboxToolsManual.pdf  8.6.24 MaxElevationDeviation,1
1.12,layers250m,dtm_dev-scale_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_dev-scale_merit.dem_m,DTM_DEV-SCALE_MERIT-DEM_M,"deviation,scale,merit,dem",dtm_dev-scale_merit.dem_m.sld,dev-scale,2D_N,dtm,Scale of the maximum multiscale deviation,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using WHITEBOX and Equi7 grid system.",1 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://github.com/jblindsay/whitebox-tools/blob/master/WhiteboxToolsManual.pdf 8.6.24 MaxElevationDeviation,1
1.13,layers250m,dtm_easthness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_easthness_merit.dem_m,DTM_EASTHNESS_MERIT-DEM_M,"eastness,merit,dem",dtm_easthness_merit.dem_m.sld,easthness,2D_N,dtm,Easthness,Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset).,"10,000 x index",https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://www.gdal.org/gdaldem.html; https://www.gdal.org/gdal_calc.html,1
1.14,layers250m,dtm_geom_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_geom_merit.dem_c,DTM_GEOM_MERIT-DEM_C,"geomorphon,merit,dem",dtm_geom_merit.dem_c.sld,geom,2D_F,dtm,Geomorphon clasess,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system",factor,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/r.geomorphon,1
1.15,layers250m,dtm_northness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_northness_merit.dem_m,DTM_NORTHNESS_MERIT-DEM_M,"northness,merit,dem",dtm_northness_merit.dem_m.sld,northness,2D_N,dtm,Northness,Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset).,"10,000 x index",https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://www.gdal.org/gdaldem.html; https://www.gdal.org/gdal_calc.html,1
1.16,layers250m,dtm_pcurv_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_pcurv_merit.dem_m,DTM_PCURV_MERIT-DEM_M,"curvature,merit,dem",dtm_pcurv_merit.dem_m.sld,pcurv,2D_N,dtm,Profile curvature,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system",10^5 x index (1/m),https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/r.slope.aspect.html,1
1.17,layers250m,dtm_rough-magnitude_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_rough-magnitude_merit.dem_m,DTM_ROUGH-MAGNITUDE_MERIT-DEM_M,"roughness,multiscale,merit,dem",dtm_rough-magnitude_merit.dem_m.sld,rough-magnitude,2D_N,dtm,Maximum multiscale roughness,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using WHITEBOX and Equi7 grid system",100 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://github.com/jblindsay/whitebox-tools/blob/master/WhiteboxToolsManual.pdf  8.6.26 MultiscaleRoughness,1
1.18,layers250m,dtm_roughness_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_roughness_merit.dem_m,DTM_ROUGHNESS_MERIT-DEM_M,"roughness,merit,dem",dtm_roughness_merit.dem_m.sld,roughness,2D_N,dtm,Roughness,Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset).,10 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://www.gdal.org/gdaldem.html,1
1.19,layers250m,dtm_rough-scale_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_rough-scale_merit.dem_m,DTM_ROUGH-SCALE_MERIT-DEM_M,"scale,roughness,merit,dem",dtm_rough-scale_merit.dem_m.sld,rough-scale,2D_N,dtm,Scale of the maximum multiscale roughness,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using WHITEBOX and Equi7 grid system",1 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://github.com/jblindsay/whitebox-tools/blob/master/WhiteboxToolsManual.pdf  8.6.26 MultiscaleRoughness,1
1.20,layers250m,dtm_tcurv_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_tcurv_merit.dem_m,DTM_TCURV_MERIT-DEM_M,"curvature,merit,dem",dtm_tcurv_merit.dem_m.sld,tcurv,2D_N,dtm,Tangential curvature,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system",10^5 x index (1/m),https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/r.slope.aspect.html,1
1.21,layers250m,dtm_vrm_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_vrm_merit.dem_m,DTM_VRM_MERIT-DEM_M,"ruggedness,merit,dem",dtm_vrm_merit.dem_m.sld,vrm,2D_N,dtm,Vector ruggedness measure,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system",10^5 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/addons/r.vector.ruggedness.html,1
2.1,layers250m,lcv_land.cover_esacci.lc.l4_c_250m_s0..0cm_*_v1.0.tif,lcv_land.cover_esacci.lc.l4_c,LCV_LAND-COVER_ESACCI-LC-L4_C,"landcover,esa",lcv_land.cover_esacci.lc.l4_c.sld,land.cover,TS_F,lcv,Land cover images for 1992 to 2015,Based on the European Space Agency (ESA) Climate Change Initiative (ESACCI-LC).,factor,https://www.esa-landcover-cci.org/?q=node/175,https://github.com/Envirometrix/LandGISmaps#land-cover-land-use-and-administrative-data,ESA Climate Change Initiative - Land Cover led by UCLouvain (2017),,contact@esa-landcover-cci.org,,http://maps.elie.ucl.ac.be/CCI/viewer/conditions.php,9-Jul-1905,300 m annual global land cover time series from 1992 to 2015,,http://maps.elie.ucl.ac.be/CCI/viewer/download.php,,https://www.esa-landcover-cci.org/?q=node/175,0
2.2,layers250m,lcv_water.occurrence_jrc.surfacewater_p_250m_b0..200cm_1984..2016_v1.0.tif,lcv_water.occurence_jrc.surfacewater_p,LCV_WATER-OCCURENCE_JRC-SURFACEWATER_P,"water,occurence",lcv_water.occurrence_jrc.surfacewater_p.sld,water.occurence,2D_N,lcv,Surface water occurrence probability,Based on the Pekel et al. (2016).,probability,https://global-surface-water.appspot.com/,https://github.com/Envirometrix/LandGISmaps#land-cover-land-use-and-administrative-data,EC Joint Research Centre,,jrc-surfacewater@ec.europa.eu,,https://global-surface-water.appspot.com/faq,9-Jul-1905,Global Surface Water,10.1038/nature20584,https://global-surface-water.appspot.com/download,,https://global-surface-water.appspot.com/,1
2.3,layers1km,lcv_nightlights.stable_dmsp.pc2_m_1km_s0..0cm_1992..2013_v1.0.tif,lcv_nightlights.stable_dmsp.pc2_m,LCV_NIGHTLIGHTS-STABLE_DMSP-PC2_M,"nightlights,dmsp-ols",lcv_nightlights.stable_dmsp.pc2_m.sld,nightlights.stable,2D_N,lcv,Nightlights changes,2nd principal component based on the Version 4 DMSP-OLS Nighttime Lights Time Series 1997–2014.,index,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/DMSP,https://github.com/Envirometrix/LandGISmaps#land-cover-land-use-and-administrative-data,NOAA,,chris.elvidge@noaa.gov,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,11-Oct-2018,,10.5281/zenodo.1458946,https://doi.org/10.5281/zenodo.1458946,1458947,https://ngdc.noaa.gov/eog/dmsp/downloadV4composites.html,1
2.4,layers10km,lcv_landuse.cropland_hyde_p_10km_s0..0cm_*_v3.2.tif,lcv_landuse.cropland_hyde_p,LCV_LANDUSE-CROPLAND_HYDE_P,"croplands,historic,hyde",prob_YlOrRd_0_50.sld,landuse.cropland,TS_N,lcv,Croplands historic,"Time-series of maps showing cropland evolution for the past 12,000 years based on the HYDE data set.",fraction,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/PBL_Hyde,https://github.com/Envirometrix/LandGISmaps#land-cover-land-use-and-administrative-data,PBL,,kees.kleingoldewijk@pbl.nl,,,10-Jul-1905,"Klein Goldewijk, K. , A. Beusen, M. de Vos and G. van Drecht (2011). The HYDE 3.1 spatially explicit database of human induced land use change over the past 12,000 years, Global Ecology and Biogeography20(1): 73-86.",10.1111/j.1466-8238.2010.00587.x,http://themasites.pbl.nl/tridion/en/themasites/hyde/download/index-2.html,,http://themasites.pbl.nl/tridion/en/themasites/hyde/index.html,1
2.5,layers10km,lcv_landuse.pasture_hyde_p_10km_s0..0cm_*_v3.2.tif,lcv_landuse.pasture_hyde_p,LCV_LANDUSE-PASTURE_HYDE_P,"pastures,historic,hyde",prob_YlOrRd_0_50.sld,landuse.pasture,TS_N,lcv,Pastures historic,"Time-series of maps showing pastures evolution for the past 12,000 years based on the HYDE data set.",fraction,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/PBL_Hyde,https://github.com/Envirometrix/LandGISmaps#land-cover-land-use-and-administrative-data,PBL,,kees.kleingoldewijk@pbl.nl,,,10-Jul-1905,"Klein Goldewijk, K. , A. Beusen, M. de Vos and G. van Drecht (2011). The HYDE 3.1 spatially explicit database of human induced land use change over the past 12,000 years, Global Ecology and Biogeography20(1): 73-86.",10.1111/j.1466-8238.2010.00587.x,http://themasites.pbl.nl/tridion/en/themasites/hyde/download/index-2.html,,http://themasites.pbl.nl/tridion/en/themasites/hyde/index.html,1
3.1,layers250m,veg_fapar_proba.v.*_d_250m_s0..0cm_2014..2017_v1.0.tif,veg_fapar_proba.v.*_d,VEG_FAPAR_PROBA-V_D,"fapar,monthly,copernicus,prob-v",veg_fapar_proba.v_d.sld,fapar,SS_N,veg,FAPAR median monthly value 2014–2017,Based on the Copernicus PROB-V FAPAR product.,fraction,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/Copernicus_vito,https://github.com/Envirometrix/LandGISmaps#vegetation-indices,EnvirometriX Ltd,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,6-Oct-2018,"Hengl T, Walsh MG, Sanderman J, Wheeler I, Harrison SP, Prentice IC. (2018) Global mapping of potential natural vegetation: an assessment of machine learning algorithms for estimating land potential. PeerJ 6:e5457",10.7287/peerj.preprints.26811v8,https://doi.org/10.5281/zenodo.1450336,1450337,https://land.copernicus.eu/global/products/fapar,1
3.2,layers250m,veg_fapar_proba.v.annual_d_250m_s0..0cm_2014..2017_v1.0.tif,veg_fapar_proba.v.annual_d,VEG_FAPAR_PROBA-V-ANNUAL_D,"fapar,annual,copernicus,prob-v",veg_fapar_proba.v_d.sld,fapar,2D_N,veg,FAPAR median annual value 2014–2017,Based on the Copernicus PROB-V FAPAR product.,fraction,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/Copernicus_vito,https://github.com/Envirometrix/LandGISmaps#vegetation-indices,EnvirometriX Ltd,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,6-Oct-2018,"Hengl T, Walsh MG, Sanderman J, Wheeler I, Harrison SP, Prentice IC. (2018) Global mapping of potential natural vegetation: an assessment of machine learning algorithms for estimating land potential. PeerJ 6:e5457",10.7287/peerj.preprints.26811v8,https://doi.org/10.5281/zenodo.1450336,1450337,https://land.copernicus.eu/global/products/fapar,1
