"procedure_key","procedure_name","requested_analysis_name","procedure_abbreviation","procedure_code","procedure_description","SSIR_42_v_5_Page_number","URL_to_SSIR_42_v_5"
269,"Organic Carbon, 6A1","Organic Carbon","unknown","6A1","CMS","652","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=680"
269,"Organic Carbon, 6A1","Organic Carbon","unknown","6A1","CMS",,
270,"Organic Carbon, Peroxide Digestion, Weight Loss","Organic Carbon","unknown","6A3a","CMS, SSIR No. 1, 1972, page 29","917","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=945"
271,"Bulk Density, Air-Dry","Bulk Density,","unknown","4A1b","SSIR No. 1, version 1974, page 15","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
272,"Bulk Density, 30-cm Absorption","Bulk Density,","unknown","4A1c","SSIR No. 1, version 1974, page 15","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
273,"Bulk Density, 1/3-Bar Desorption I","Bulk Density,","unknown","4A1d","SSIR No. 42, version 3, page 121","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
273,"Bulk Density, 1/3-Bar Desorption I","Bulk Density,","unknown","4A1d","SSIR No. 42, version 3, page 121","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
274,"Bulk Density, 1/3-Bar Desorption II","Bulk Density,","unknown","4A1e","SSIR No. 1, version 1974, page 15","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
275,"Bulk Density, 1/3-Bar Desorption III","Bulk Density,","unknown","4A1f","SSIR No. 1, version 1974, page 15","899","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=927"
276,"Bulk Density, 1/10-Bar Desorption","Bulk Density,","unknown",,"SSIR No. 1, version 1974, page 15",,
277,"Bulk Density, Oven-Dry","Bulk Density,","unknown","4A1h","SSIR No. 42, version 3, page 127","896","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=924"
277,"Bulk Density, Oven-Dry","Bulk Density,","unknown","4A1h","SSIR No. 42, version 3, page 127","896","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=924"
278,"Water Retention, 0.1 or 0.33 bar, Soil Pieces","Water Retention, 0.1 or 0.33 bar, soil pieces","unknown","4B1b","SSIR No. 1, version 1974, page 16","900","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=928"
279,"Water Retention, cores, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction","Water Retention, cores, 0.06, 0.1, 0.33, or 1 Bar, pressure-plate extraction","unknown","4B1d","SSIR No. 1, version 1974, page 17","150","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=178"
280,"Water Retention, Water Content","Water Retention, Water Content","unknown","4B1f","no desc",,
281,"Water Retention, Sand-Table Absorption","Water Retention, Sand-Table Absorption","unknown","4B3","SSIR No. 1, version 1974, page 17","901","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=929"
282,"Aggregate Stability, Wet Sieving, 1-2 mm, moist","Aggregate Stability, moist","unknown","4G1b","no desc",,
283,"Atterberg Limits, NSMC Lab, moist","Atterberg Limits moist","unknown","4F1b","no desc","218","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=246"
284,"Calcium Carbonate, HCl Treatment","Calcium Carbonate Equivalent, <2mm","CACO3","6E1","SSIR No. 42, version 3, page 271","929","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=957"
285,"Calcium Carbonate, Sensitive Qualitative Method, Visual, Gas Bubbles","Calcium Carbonate Equivalent, <2mm","CACO3","6E2a","SSIR No. 1, version 1974, page 35","933","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=961"
286,"Calcium Carbonate, HCl Treatment, Titrimetric","Calcium Carbonate Equivalent, <2mm","CACO3","6E1e","SSIR No. 1, version 1974, page 34",,
286,"Calcium Carbonate, HCl Treatment, Titrimetric","Calcium Carbonate Equivalent, <2mm","CACO3","6E1e","SSIR No. 1, version 1974, page 34","932","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=960"
2,"Atterberg Limits, NSMC Lab","Atterberg Limits","ATTERBERG","3H","SSIR No. 42, version 4, page 167","218","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=246"
3,"Bulk Density and Water Retention, Pressure-Plate, Clods","Bulk Density, Clod","DBH2ORET","DbWR1","SSIR No. 42, version 4, page 104","138","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=166"
4,"Bulk Density and Water Retention, Pressure-Plate, Cores","Bulk Density, Soil Core","DBH2ORETCO","3B6","SSIR No. 42, version 4, page 104","138","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=166"
5,"Bulk Density and Water Retention, Reconstituted","Bulk Density, Reconstituted","DBRECON","3B2","SSIR No. 42, version 4, page 99","125","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=153"
6,"Bulk Density, Compliant Cavity","Bulk Density, Compliant Cavity","DBCOMPCAV","3B3","SSIR No. 42, version 4, page 98","130","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=158"
8,"Bulk Density, Field State","Bulk Density, Clod, Field State","DBFLDSTATE","3B1a","SSIR No. 42, version 4, page 75","101","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=129"
9,"Bulk Density, Reconstituted, Moist","Bulk Density, Reconstituted, Moist","DBRECON_M","DbRec1",,,
10,"Bulk Density, Rewet, Clods","Bulk Density, Clod, Rewet","DBREWET","3B1d","SSIR No. 42, version 4, page 89","119","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=147"
11,"Bulk Sample Preparation","Sample Preparation","BlkSmpPrep",,"SSIR No. 42, version 4, page 16",,
12,"Calcium Carbonate Equivalent, HCl, <2mm","Calcium Carbonate Equivalent, <2mm","CACO3","4E1a1a1a1","SSIR No. 42, version 4, page 269","370","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398"
13,"Calcium Carbonate Equivalent, HCl, 2-20mm","Calcium Carbonate Equivalent, 2-20mm","CACO3_20","4E1a1a1a2","SSIR No. 42, version 4, page 269","370","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398"
13,"Calcium Carbonate Equivalent, HCl, 2-20mm","Calcium Carbonate Equivalent, 2-20mm","CACO3_20","6E4","SSIR No. 42, version 4, page 269","370","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398"
14,"Carbon, Total","Carbon, Total","TOTC","6A2e","SSIR No. 42, version 4, page 473","713","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=741"
15,"Cations, Acid Oxalate Extractable","Acid Oxalate Extract","OXAL","4G2","SSIR No. 42, version 4, page 312","432","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=460"
16,"Cations, Dithionite-Citrate Extractable","Dithionite-Citrate Extract","DITH","4G1","SSIR No. 42, version 4, page 307","426","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=454"
17,"Cations, Potassium Chloride Extractable","KCl Extract","KCL","4B3a1a","SSIR No. 42, version 4, page 197","254","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=282"
18,"Cations, Pyrophosphate Extractable","Na-Pyrophosphate Extract","PYRO","4G3","SSIR No. 42, version 4, page 317","440","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=468"
19,"CEC and Cations, NH4Cl","CEC and Cations, Neutral Salts","CECCL","4B1b1a","SSIR No. 42, version 4, page 181","236","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=264"
20,"CEC and Cations, NH4OAc","CEC and Cations, Routine","CECNH4","4B1a1","SSIR No. 42, version 4, page 173","230","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=258"
21,"Differential Scanning Calorimetry, Thermal Analyzer","Clay Mineralogy, DSC","DSC910S","7A3a","SSIR No. 42, version 4, page 410",,
22,"Effervescence, 1N HCl","Effervescence, 1N HCl","EFF_1nhcl","1B1b2d2","SSIR No. 42, version 4, page 25","35","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=63"
23,"Extractable Acidity, BaCl2-Triethanolamine, Titration","Extractable Acidity, BaCl2-TEA","EXTRACID","4B2a1a1","SSIR No. 42, version 4, page 191","603","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=631"
23,"Extractable Acidity, BaCl2-Triethanolamine, Titration","Extractable Acidity, BaCl2-TEA","EXTRACID","4B2a1a1","SSIR No. 42, version 4, page 191","603","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=631"
23,"Extractable Acidity, BaCl2-Triethanolamine, Titration","Extractable Acidity, BaCl2-TEA","EXTRACID","6H5b","SSIR No. 42, version 4, page 191","603","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=631"
24,"Gypsum, H2O Extraction, Acetone Precipitation, <2mm","Gypsum, <2mm","GYPSUM","4E2a1a1a1","SSIR No. 42, version 4, page 273","375","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=403"
24,"Gypsum, H2O Extraction, Acetone Precipitation, <2mm","Gypsum, <2mm","GYPSUM","6F1a","SSIR No. 42, version 4, page 273","375","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=403"
25,"Gypsum, H2O Extraction, Acetone Precipitation, 2-20mm","Gypsum, 2-20mm","GYP20","4E2a1a1a2","SSIR No. 42, version 4, page 273","375","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=403"
26,"Mineral Content, Loss on Ignition","Mineral Content","MINIGNITE","5A","SSIR No. 42, version 4, page 368","495","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=523"
27,"Nitrate, 1 M KCl Extractable, FIA","Nitrate, KCl Extractable","NO3KCL","4D9a1a","SSIR No. 42, version 4, page 260","360","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=388"
28,"Nitrogen, Mineralizable","Nitrogen, Mineralizable","MINT","6B2a1a1","SSIR No. 42, version 4, page 388","664","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=692"
29,"Nitrogen, Total","Nitrogen, Total","TOTN","6B4a","SSIR No. 42, version 4, page 475","716","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=744"
30,"Optical Analysis, Glass Count","Optical Analysis, Glass Count","OPTICAL_G","7B1a2","SSIR No. 42, version 4, page 428","566","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=594"
31,"Optical Analysis, Full Grain Count","Optical Analysis, Full Count","OPTICAL_F","7B1a2","SSIR No. 42, version 4, page 428","566","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=594"
32,"Organic Fiber Analysis","Fiber Analysis","FIBANAL","5C","SSIR No. 42, version 4, page 371","499","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=527"
33,"Particle density","Particle Density <2mm","pd_l2","3G1a1","SSIR No. 42, version 4, page 165","216","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=244"
34,"Particle density >2 mm","Particle Density >2mm","pd_g2","3G1a2","SSIR No. 42, version 4, page 165","216","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=244"
35,"pH, 1N KCl","pH, KCl","PHKCL","4C1a2a3","SSIR No. 42, version 4, page 215","279","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=307"
35,"pH, 1N KCl","pH, KCl","PHKCL","8C1c","SSIR No. 42, version 4, page 215","279","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=307"
35,"pH, 1N KCl","pH, KCl","PHKCL","8C1c","SSIR No. 42, version 4, page 215",,
36,"pH, 1N NaF","pH, NaF","PHNAF","4C1a1a1","SSIR No. 42, version 4, page 205","267","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=295"
37,"pH, Oxidized","pH, Oxidized","PHOXID","4C1a1a3","SSIR No. 42, version 4, page 209","271","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=299"
38,"pH, Routine, 1:1 Water and 1:2 0.01M CaCl2","pH, Routine","PHROUT","4C1a2a","SSIR No. 42, version 4, page 213","276","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=304"
39,"Phosphate, Water Soluble","Phosphate, Water Soluble","H2OPO4","4D2a1b1","SSIR No. 42, version 4, page 226","292","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=320"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","4D3","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","4D3a1","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","6S3b","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","6S3d","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","6S3e","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","6S3f","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
40,"Phosphorus, Bray 1","Phosphorus, Bray 1","BRAYP","BRAYP","SSIR No. 42, version 4, page 231","327","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355"
41,"Phosphorus, Bray 2","Phosphorus, Bray 2","BRAY2P","4D4a1","SSIR No. 42, version 4, page 239","331","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=359"
42,"Phosphorus, Citric Acid Extractable","Phosphorus, Citric Acid Extractable","CITACIDP","4D7a1","SSIR No. 42, version 4, page 253","351","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=379"
43,"Phosphorus, New Zealand P Retention","New Zealand Phosphorus Retention","NZPRET","4D8a1","SSIR No. 42, version 4, page 257","356","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=384"
44,"Phosphorus, Olsen","Phosphorus, Olsen","OLSENP","4D5a1","SSIR No. 42, version 4, page 242","336","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=364"
45,"PSDA, Dith, Pipet","PSDA, Dith, Pipet","PSDADITH","3A1a3a","SSIR No. 42, version 4, page 46","67","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=95"
46,"PSDA, Moist, Dith, Pipet","PSDA, Moist, Dith, Pipet","PSDAMDITH","3A1a3b","SSIR No. 42, version 4, page 52","74","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=102"
47,"PSDA, Moist, NaOAc, Pipet","PSDA, Moist, NaOAc, Pipet","PSDAMNAOAC","3A1a2b","SSIR No. 42, version 4, page 51","73","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=101"
48,"PSDA, Moist, NaOH, Pipet","PSDA, Moist, NaOH, Pipet","PSDAMNAOH","3A1a4b","SSIR No. 42, version 4, page 53","75","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=103"
49,"PSDA, Moist, Pipet","PSDA, Moist, Pipet","PSDAMST","3A1a1b","SSIR No. 42, version 4, page 50","72","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=100"
50,"PSDA, Moist, Ultrasonic, Pipet","PSDA, Moist, Ultrasonic, Pipet","PSDAMULTRA","3A1a5b","SSIR No. 42, version 4, page 53","76","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=104"
51,"PSDA, NaOAc, Pipet","PSDA, NaOAc, Pipet","PSDANAOAC","3A1a2a","SSIR No. 42, version 4, page 46","66","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=94"
52,"PSDA, NaOH, Pipet","PSDA, NaOH, Pipet","PSDANAOH","3A1a4a","SSIR No. 42, version 4, page 47","67","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=95"
53,"PSDA, Routine, Pipet","PSDA, Air-dry,","PSDA","3A1","SSIR No. 42, version 4, page 41","60","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=88"
53,"PSDA, Routine, Pipet","PSDA, Air-dry,","PSDA","3A1a1a","SSIR No. 42, version 4, page 41","60","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=88"
54,"PSDA, Ultrasonic, Pipet","PSDA, Ultrasonic, Pipet","PSDAULTRA","3A1a5a","SSIR No. 42, version 4, page 47","68","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=96"
55,"PSDA, Water Dispersible, Air-dry","PSDA, Water Dispersible, Air-dry","H2OPSDAAD","3A1a6a","SSIR No. 42, version 4, page 48","70","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=98"
56,"PSDA, Water Dispersible, hydrometer, air-dry","PSDA, Water Dispersible, hydrometer, air-dry","H2OHYDRAD","PSDAh1",,,
57,"PSDA, Water Dispersible, Moist","PSDA, Water Dispersible, Moist","H2OPSDAM","3A1a6b","SSIR No. 42, version 4, page 55","78","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=106"
58,"Salt Prediction, 1:2 (w/v)","Salt Predict","PREDICT","4F1a1a1","SSIR No. 42, version 4, page 277","383","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=411"
59,"Saturated Paste and Soluble Salts","Saturated Paste and Soluble Salts","SATP","4F2","SSIR No. 42, version 4, page 278","390","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=418"
