"data_tier_desc","column_index","column_name","analyte_name","analyte_abbrev","analyte_code","analyte_type","analyte_data_type","analyte_format","uom_abbrev","analyte_desc","calc_size_frac"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, coulter counter","silt_tot_psa2","Silt_d-4_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, centrifuge","silt_tot_psa2","Silt_d-3_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, centrifuge","sand_tot_psa2","Sand_d-3_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",11,"vf_sand","Sand, Very Fine, centrifuge","sand_vf_psa2","SndVFp2","aggregate analyte","F","4.1","% wt","Very fine sand is the soil separate with 0.05 to 0.10 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",15,"vc_sand","Sand, Very Coarse, centrifuge","sand_vc_psa2","SndVCp2","aggregate analyte","F","4.1","% wt","Very coarse sand is the soil separate with 1.0 to 2.0 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",13,"m_sand","Sand, Medium, centrifuge","sand_m_psa2","SndM_p2","aggregate analyte","F","4.1","% wt","Medium sand is the soil separate with 0.25 to 0.50 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",12,"f_sand","Sand, Fine, centrifuge","sand_f_psa2","SndF_p2","aggregate analyte","F","4.1","% wt","Fine sand is the soil separate with 0.10 to 0.25 mm diameter particles. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",14,"c_sand","Sand, Coarse, centrifuge","sand_c_psa2","SndC_p2","aggregate analyte","F","4.1","% wt","Coarse sand is the soil separate with 0.5 to 1.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",4,"total_clay","Clay, centrifuge","clay_tot_psa2","ClyT_p2","aggregate analyte","F","4.1","% wt","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction. Organic matter and soluble salts not removed.",
"Supplementary Tier 4",18,"tex_psda","Texture, USDA","tex_psda","Textur_d-2_S","derived_analyte","C","4","(NA)","The laboratory determined texture of the <2 mm fraction is calculated from particle size separate data.",
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, no pretreatment, Pipet","silt_tot_psa1","Silt_d-2_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, no pretreatment, Pipet","silt_c_psa1","CSilt_d-2_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, no pretreatment, Pipet","sand_tot_psa1","Sand_d-2_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep Organic matter and soluble salts not removed.","<2 mm"
"PSDA and Rock Fragments",9,"fine_silt","Silt, Fine, no pretreatment, Pipet","silt_f_psa1","SiltFp1","aggregate analyte","F","4.1","% wt","Fine silt is the soil separate with 0.002 to 0.02 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"Salt",19,"te_salt_si","Total Salt, Estimated, SI-Set 3, N Prep","te_salt_si3","EsSalt_d-3_N","derived_analyte","F","4.1","% wt","The total estimated salt content of a sample is calculated from the electrical conductivity. It is reported as gravimetric percent on a <2 mm base.",
"Salt",19,"te_salt_si","Total Salt, Estimated, SI-Set 3, S Prep","te_salt_si3","EsSalt_d-3_S","derived_analyte","F","4.1","% wt","The total estimated salt content of a sample is calculated from the electrical conductivity. It is reported as gravimetric percent on a <2 mm base.",
"Salt",23,"sar_si","Ratio, Sodium Absorption, SI-Set 3, N Prep","sar_si3","SAR_d-3_N","derived_analyte","F","4","(NA)","The sodium absorption ratio is calculated by NA_SATX/sqrt((CA_SATX+MG_SATX)/2). It is approximately equal to the exchangeable sodium percentage.",
"Salt",23,"sar_si","Ratio, Sodium Absorption, SI-Set 3, S Prep","sar_si3","SAR_d-3_S","derived_analyte","F","4","(NA)","The sodium absorption ratio is calculated by NA_SATX/sqrt((CA_SATX+MG_SATX)/2). It is approximately equal to the exchangeable sodium percentage.",
"Organic",9,"c_n_ra","Ratio, Total Carbon to Nitrogen, Elementar, N prep","c_n_ra","CNrat_d-2_N","derived_analyte","F","3","(NA)","The carbon to nitrogen ratio is calculated by C_TOT_NCS/N_TOT_NCS. It provides information related to soil fertility and the state of organic matter decomposition. It is reported on a <2 mm base.","<2 mm"
"Supplementary Tier 3",17,"c_n_ra","Ratio, Total Carbon to Nitrogen, Elementar, N prep","c_n_ra","CNrat_d-2_N","derived_analyte","F","3","(NA)","The carbon to nitrogen ratio is calculated by C_TOT_NCS/N_TOT_NCS. It provides information related to soil fertility and the state of organic matter decomposition. It is reported on a <2 mm base.","<2 mm"
"Carbon and Extractions",8,"c_n_ra","Ratio, Total Carbon to Nitrogen, Elementar, N prep","c_n_ra","CNrat_d-2_N","derived_analyte","F","3","(NA)","The carbon to nitrogen ratio is calculated by C_TOT_NCS/N_TOT_NCS. It provides information related to soil fertility and the state of organic matter decomposition. It is reported on a <2 mm base.",
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 35","ecec_cly_cecd35","ececcl_d-41_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 34","ecec_cly_cecd34","ececcl_d-40_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 33","ecec_cly_cecd33","ececcl_d-39_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 32","ecec_cly_cecd32","ececcl_d-38_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 31","ecec_cly_cecd31","ececcl_d-37_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 30","ecec_cly_cecd30","ececcl_d-36_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 29","ecec_cly_cecd29","ececcl_d-35_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 28","ecec_cly_cecd28","ececcl_d-34_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 27","ecec_cly_cecd27","ececcl_d-33_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 26","ecec_cly_cecd26","ececcl_d-32_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 25","ecec_cly_cecd25","ececcl_d-31_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 24","ecec_cly_cecd24","ececcl_d-30_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 23","ecec_cly_cecd23","ececcl_d-29_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 22","ecec_cly_cecd22","ececcl_d-28_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 21","ecec_cly_cecd21","ececcl_d-27_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 20","ecec_cly_cecd20","ececcl_d-26_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 19","ecec_cly_cecd19","ececcl_d-25_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 18","ecec_cly_cecd18","ececcl_d-24_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 17","ecec_cly_cecd17","ececcl_d-23_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 16","ecec_cly_cecd16","ececcl_d-22_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 15","ecec_cly_cecd15","ececcl_d-21_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 14","ecec_cly_cecd14","ececcl_d-20_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 13","ecec_cly_cecd13","ececcl_d-19_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 12","ecec_cly_cecd12","ececcl_d-18_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 11","ecec_cly_cecd11","ececcl_d-17_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"Taxonomy Tier 2",16,"ecec_cly_cec","Ratio, Effective CEC to Clay, <2mm, CECd-Set 10","ecec_cly_cecd10","ececcl_d-16_S","derived_analyte","F","4.2","(NA)","The ECEC / total clay ratio is calculated by ECEC_CEC/CLAY_TOT. It is reported on a <2 mm base.","<2 mm"
"CEC and Bases",15,"al_sat","Aluminum Saturation, CECd-Set 35","al_sat_cecd35","AlSat_d-41_N","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.",
"Taxonomy Tier 2",17,"al_sat_cec","Aluminum Saturation, CECd-Set 35","al_sat_cecd35","AlSat_d-41_N","derived_analyte","I","3","%","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity.","<2 mm"
