"project_key","lab_proj_name","submit_proj_name","source_name"
93,"NL72CO004","EL PASO - PUEBLO","NSSL Riverside"
94,"NL72OR005","LOWER KLAMATH","NSSL Riverside"
95,"NL72OR006","N.COOS-W.DOUGLAS","NSSL Riverside"
96,"NL72WA007","LEWIS CO. WASH.","NSSL Riverside"
97,"NL72UT008","MORGAN&E.WEBER","NSSL Riverside"
98,"NL72CA009","SAN JOAQUIN CO.","NSSL Riverside"
99,"NL72CA010","CONTRA COSTA CO.","NSSL Riverside"
100,"NL72NV011","NEVADA LOESS STD","NSSL Riverside"
101,"NL72CA012","NE CALIF","NSSL Riverside"
102,"NL72UT013","BUCKHORN-CEDAR","NSSL Riverside"
103,"NL72CA014","NAPA CO.","NSSL Riverside"
104,"NL73OR001","COOS-CURRY COS","NSSL Riverside"
105,"NL73AZ002","YUMA CO","NSSL Riverside"
106,"NL73CA003","ALAMEDA-SNT CRUZ","NSSL Riverside"
107,"NL73CA004","PASO ROBLES","NSSL Riverside"
108,"NL73CA005","SANTA MARIA","NSSL Riverside"
109,"NL72AQ006","SAMOA","NSSL Riverside"
110,"NL73NV007","RAILROAD VALLEY","NSSL Riverside"
111,"NL73NV008","FISHLAKE VALLEY","NSSL Riverside"
112,"NL72AQ009","SAMOA","NSSL Riverside"
113,"NL73AZ010","YUMA CO.","NSSL Riverside"
114,"NL73UT011","LOA-PANG-RICHFLD","NSSL Riverside"
115,"NL73UT012","BUCKHORN-CEDAR","NSSL Riverside"
116,"NL73CA013","ALTURAS & MODOC","NSSL Riverside"
117,"NL73NV014","S. CLARK CO.","NSSL Riverside"
118,"NL73AZ015","SAN SIMON","NSSL Riverside"
119,"NL74CA001","S E KERN CO","NSSL Riverside"
120,"NL74CA002","MARIN CO","NSSL Riverside"
121,"NL74NM003","OTERO","NSSL Riverside"
122,"NL74AZ004","YUMA CO","NSSL Riverside"
123,"NL74MT005","PONDEROSA STUDY","NSSL Riverside"
124,"NL74WA006","SNOHOMISH COUNTY","NSSL Riverside"
125,"NL74CA007","SISKIYOU CO","NSSL Riverside"
126,"NL74AZ008","ARIZONA","NSSL Riverside"
127,"NL74CA009","S.E. KERN","NSSL Riverside"
128,"NL74WY010","LOESS STDY,R.MT.","NSSL Riverside"
129,"NL74AK011","INTERIOR ALASKA","NSSL Riverside"
130,"NL74UT012","CEDAR CITY","NSSL Riverside"
131,"NL74UT013","FAIRFIELD-NEPHI","NSSL Riverside"
132,"NL74OR014","COOS COUNTY","NSSL Riverside"
133,"NL74NV015","NE CLARK CO","NSSL Riverside"
134,"NL74NV016","SE LINCOLN CO","NSSL Riverside"
135,"NL74OR017","GRANT-WHEELER","NSSL Riverside"
136,"NL74OR018","COOS COUNTY","NSSL Riverside"
137,"NL74AZ019","PIMA CO.,E. PART","NSSL Riverside"
138,"NL74AZ020","SAN SIMON","NSSL Riverside"
139,"NL74ID001","PONDEROSA PINE","NSSL Riverside"
140,"NL75CA002","APPLE VALLEY","NSSL Riverside"
141,"NL75AZ003","C. COCONINO CO.","NSSL Riverside"
143,"NL75OR005","LANE COUNTY","NSSL Riverside"
144,"NL75UT006","FAIRFIELD-NEPHI","NSSL Riverside"
148,"NL75MT010","S.E. MONTANA","NSSL Riverside"
149,"NL76CA001","PONTO-RUFFNER","NSSL Riverside"
152,"CP78TX001","VERTISOL STUDY","NSSL CMS"
153,"RP78CA004","LA JOLLA ARCHEOLOGICAL SITE","NSSL CMS"
154,"RP78AL005","MOBILE COUNTY","NSSL CMS"
155,"RP78TX007","WASHINGTON COUNTY","NSSL CMS"
156,"CP78NV008","LYON COUNTY","NSSL CMS"
157,"CP78VA009","GEORGEVILLE-CULLEN STUDY","NSSL CMS"
158,"CP78AZ010","COCONINO COUNTY","NSSL CMS"
159,"CP78WI011","GALE PEDON","NSSL CMS"
160,"CP78TX012","SOUTH TEXAS SAND SHEET","NSSL CMS"
161,"RP78KY014","MINERALOGY SAMPLES","NSSL CMS"
162,"RP78VT017","WINDHAM COUNTY SPODIC","NSSL CMS"
163,"RP78CA019","LASSEN NATIONAL FOREST","NSSL CMS"
164,"CP78CA020","TAHOE NATIONAL FOREST","NSSL CMS"
165,"RP78MT023","MCCONE COUNTY","NSSL CMS"
166,"CP78IN024","LAGRANGE COUNTY","NSSL CMS"
167,"RP78AL025","TUSCALOOSA COUNTY","NSSL CMS"
168,"RP78AL026","JEFFERSON AND SHELBY COUNTIES","NSSL CMS"
169,"CP78IN030","LYLES PEDON","NSSL CMS"
170,"RP78ND031","BOTTINEAU COUNTY","NSSL CMS"
171,"RP78MT032","ROSEBUD COUNTY","NSSL CMS"
172,"RP78NV034","RUBY MOUNTAINS","NSSL CMS"
173,"CP78NE038","HOLT COUNTY","NSSL CMS"
174,"CP78WA039","PALOUSE SURFACE AREA STUDY","NSSL CMS"
175,"CP78MN041","COOK AND ST LOUIS COUNTIES","NSSL CMS"
176,"CP78NY043","SPODOSOL STUDY","NSSL CMS"
177,"CP78NE045","CLAY COUNTY","NSSL CMS"
178,"CP78OH047","EVALUATION OF SUBSURFACE DRAINAGE SYSTEM","NSSL CMS"
179,"RP78NE049","BUTLER AND CUSTER COUNTIES","NSSL CMS"
180,"CP78IN051","MONROE COUNTY","NSSL CMS"
181,"CP78NV053","LANDER AND WHITE PINE COUNTY NITRATE STUDY","NSSL CMS"
182,"RP78TN054","UNICOI COUNTY","NSSL CMS"
183,"CP78ND060","UNSATURATED HYDRAULIC CONDUCTIVITY STUDY","NSSL CMS"
184,"RP78WI062","SAUK COUNTY","NSSL CMS"
185,"RP78WI063","KEWAUNEE COUNTY","NSSL CMS"
186,"RP78AL070","COVINGTON COUNTY","NSSL CMS"
187,"RP78MO071","ST CHARLES COUNTY","NSSL CMS"
188,"RP78WA072","PEND OREILLE COUNTY","NSSL CMS"
189,"RP78NE076","CLAY COUNTY","NSSL CMS"
190,"CP78FN079","KENYA","NSSL CMS"
191,"RP78NE080","STANTON COUNTY","NSSL CMS"
192,"RP78WV081","SUMMERS COUNTY","NSSL CMS"
193,"RP78AL082","CHOCTAW, CONCUH AND MONROE COUNTIES","NSSL CMS"
194,"RP78WA084","SKAGIT COUNTY","NSSL CMS"
195,"RP78MO086","MISSISSIPPI AND SCOTT COUNTIES","NSSL CMS"
196,"RP78CO087","MOFFAT COUNTY","NSSL CMS"
197,"RP78CA088","LASSEN NATIONAL FOREST","NSSL CMS"
198,"CP78TX089","SOUTH TEXAS SAND SHEET","NSSL CMS"
199,"RP78WI094","WAUPACA COUNTY","NSSL CMS"
200,"RP78WI096","CHIPPEWA COUNTY","NSSL CMS"
201,"RP78ME103","LABORATORY COMPARISON","NSSL CMS"
202,"CP78FN104","KENYA, SECOND GROUP","NSSL CMS"
203,"RP78KY105","SPECIAL MINERALOGY","NSSL CMS"
204,"RP78AL107","ARUNDEL SERIES STUDY","NSSL CMS"
205,"CP78WA111","KLICKITAT COUNTY","NSSL CMS"
206,"CP78ND112","GLACIAL TILL STUDY","NSSL CMS"
207,"RP78NE114","OTOE COUNTY","NSSL CMS"
208,"CP78AZ116","AGUILA-CAREFREE MARICOPA AND PINAL COUNTIES","NSSL CMS"
209,"RP78VA117","RICHMOND COUNTY","NSSL CMS"
210,"RP78NC118","COLE DETERMINATIONS-CECIL AND RELATED SOILS","NSSL CMS"
211,"RP78MO119","BUTLER AND RIPLEY COUNTIES","NSSL CMS"
212,"RP78IL121","HENRY COUNTY","NSSL CMS"
213,"CP78FN123","THAILAND - International Soil Classification Workshop","NSSL CMS"
214,"RP78AL125","COLE DETERMINATIONS-CECIL & RELATED SOILS","NSSL CMS"
215,"RP78SC127","COLE DETERMINATIONS-CECIL & RELATED SOILS","NSSL CMS"
216,"CP78VT128","SPODOSOL STUDY WINDHAM COUNTY","NSSL CMS"
217,"RP78VT129","WINDHAM COUNTY","NSSL CMS"
218,"CP78ND133","GLACIAL TILL STUDY","NSSL CMS"
219,"CP78LA135","MOREHOUSE PARISH","NSSL CMS"
220,"CP78SD136","GREGORY COUNTY","NSSL CMS"
221,"RP78CA137","KERN COUNTY","NSSL CMS"
222,"RP78GA138","COLE DETERMINATIONS-CECIL AND RELATED SOILS","NSSL CMS"
223,"CP78OH139","DRAINAGE EVALUATION STUDY","NSSL CMS"
224,"CP78IN140","ORANGE COUNTY","NSSL CMS"
225,"RP78TX142","VAL VERDE COUNTY","NSSL CMS"
226,"CP78TX143","EASTLAND AND ERATH COUNTIES","NSSL CMS"
227,"RP78WA144","GRAYS HABOR AND PACIFIC COUNTIES","NSSL CMS"
228,"RP78VA146","COLE DETERMINATIONS-CECIL AND RELATED SOILS","NSSL CMS"
229,"RP78VA147","MICACEOUS SOIL STUDY","NSSL CMS"
230,"RP78IN148","WHITE COUNTY","NSSL CMS"
231,"RP78MO149","ST FRANCOIS COUNTY","NSSL CMS"
232,"RP78MI151","FORD FORESTRY CENTER","NSSL CMS"
233,"CP78NC152","CRAVEN COUNTY","NSSL CMS"
234,"RP78NE154","HAMILTON COUNTY","NSSL CMS"
235,"CP78TX157","SAND SHEET STUDY","NSSL CMS"
236,"RP78NE160","CHASE COUNTY","NSSL CMS"
237,"RP78WV161","PARTICLE-SIZE CHECK","NSSL CMS"
238,"CP78ID162","EAST CASSIA COUNTY","NSSL CMS"
239,"RP78WI164","MARATHON COUNTY - TEXTURE SAMPLES","NSSL CMS"
240,"IP78NE165","SAUNDERS COUNTY-EFFECT OF SOIL TILLAGE","NSSL CMS"
241,"RP78NE168","COLFAX COUNTY","NSSL CMS"
242,"CP78UT169","UTAH AND JUAB COUNTIES FAIRFIELD-NEPHI AREA","NSSL CMS"
243,"RP78CA171","HUMBOLDT COUNTY-SIX RIVERS NATIONAL FOREST","NSSL CMS"
244,"RP78NE175","MADISON COUNTY","NSSL CMS"
245,"CP78CA178","NAPA AND LAKE COUNTIES","NSSL CMS"
246,"CP78TX179","BELL COUNTY","NSSL CMS"
247,"CP78MO180","FLEETWOOD FARM STUDY","NSSL CMS"
248,"CP78NC183","CABARRUS COUNTY","NSSL CMS"
249,"CP78AL186","MONROE AND WILCOX COUNTIES CITRONELLE STUDY","NSSL CMS"
250,"CP78VA189","SOILS OVER SAPROLITE STUDY","NSSL CMS"
251,"CP78WI190","OCONTO,SHAWANO,WAUPACA,WAUSHARA COUNTIES","NSSL CMS"
252,"RP78MD192","KENT COUNTY","NSSL CMS"
253,"CP78TX197","HUTCHINSON AND RANDALL COUNTIES","NSSL CMS"
254,"CP78CA199","FRESNO COUNTY","NSSL CMS"
255,"IP78NE200","SAUNDERS COUNTY, EFFECT OF SOIL TILLAGE","NSSL CMS"
256,"CP78NE203","MORRILL COUNTY","NSSL CMS"
257,"CP78WA205","KLICKITAT COUNTY","NSSL CMS"
258,"CP78SD207","HARDING COUNTY","NSSL CMS"
259,"CP78OH208","DRAINAGE EVALUATION STUDY","NSSL CMS"
260,"CP78ID209","BONNER COUNTY","NSSL CMS"
261,"CP78NV210","NYE COUNTY","NSSL CMS"
262,"CP78NH211","SPODIC HORIZON STUDY","NSSL CMS"
263,"CP78ME212","HANCOCK AND KNOX COUNTIES","NSSL CMS"
264,"CP78NV213","DOUGLAS COUNTY","NSSL CMS"
265,"CP78NV214","WASHOE COUNTY","NSSL CMS"
266,"CP78MN215","CLEARWATER AND PENNINGTON COUNTIES","NSSL CMS"
267,"CP78CA216","LASSEN NATIONAL FOREST","NSSL CMS"
268,"CP78NM217","SANDOVAL COUNTY","NSSL CMS"
269,"CP79WV002","RANDOLPH COUNTY","NSSL CMS"
270,"RP79TX004","DUVAL COUNTY","NSSL CMS"
271,"RP79ID005","ELMORE COUNTY","NSSL CMS"
272,"RP79CA006","SISKIYOU COUNTY-KLAMETH NATIONAL FOREST","NSSL CMS"
273,"RP79TX013","BRAZORIA COUNTY","NSSL CMS"
274,"RP79WA016","PIERCE COUNTY","NSSL CMS"
275,"IP79ND019","LINEAR EXTENSIBILITY-SALT INFLUENCE","NSSL CMS"
276,"RP79IL020","HENRY COUNTY","NSSL CMS"
277,"IP79IN023","TROY SECTION","NSSL CMS"
278,"CP79MI024","BARAGA COUNTY","NSSL CMS"
279,"RP79IN030","ADAMS COUNTY","NSSL CMS"
280,"RP79IN032","RIPLEY COUNTY","NSSL CMS"
281,"CP79TX038","VICTORIA COUNTY","NSSL CMS"
282,"RP79MI039","BRANCH COUNTY","NSSL CMS"
283,"RP79SD041","HARDING COUNTY","NSSL CMS"
284,"CP79SD042","BUFFALO COUNTY","NSSL CMS"
285,"RP79TX043","BAILEY COUNTY","NSSL CMS"
286,"RP79CA044","FOREST SERVICE FERTILIZATION PROGRAM","NSSL CMS"
287,"RP79MI048","LAKE AND WEXFORD COUNTIES","NSSL CMS"
288,"CP79IN050","WAYNE COUNTY","NSSL CMS"
289,"RP79NE054","HOLT COUNTY","NSSL CMS"
290,"RP79NE055","MORRILL COUNTY","NSSL CMS"
291,"RP79VT059","WINDHAM COUNTY","NSSL CMS"
292,"RP79TQ060","PONAPE ISLAND, EAST CAROLINE ISLANDS","NSSL CMS"
293,"RP79WI062","ASHLAND COUNTY","NSSL CMS"
294,"CP79AK066","SPODOSOL STUDY TONGASS-CHUGACH NATL. FOREST","NSSL CMS"
295,"CP79CA067","ERODIBILITY STUDY, CAL-DAVIS","NSSL CMS"
296,"RP79NH070","HILLSBOROUGH COUNTY","NSSL CMS"
297,"IP79NL075","LINEAR EXTENSIBILITY, SALT INFLUENCE","NSSL CMS"
298,"RP79WA081","CLALLAM COUNTY","NSSL CMS"
299,"RP79WA082","MASON COUNTY","NSSL CMS"
300,"RP79WI089","SAUK COUNTY","NSSL CMS"
301,"RP79ME091","OXFORD COUNTY","NSSL CMS"
302,"CP79NL092","STANDARD SOILS SOUTHEASTERN UNITED STATES","NSSL CMS"
303,"RP79MO095","CAMDEN AND LACLEDE COUNTIES","NSSL CMS"
304,"RP79SD098","HARDING COUNTY","NSSL CMS"
305,"RP79WA100","NORTHEAST WASH-SOUTHERN BRITISH COLUMBIA","NSSL CMS"
306,"CP79NE102","BOX BUTTE COUNTY","NSSL CMS"
307,"RP79IN103","KNOX COUNTY","NSSL CMS"
308,"CP79TQ107","PONAPE ISLAND, EAST CAROLINE ISLANDS","NSSL CMS"
309,"RP79WI111","LANGLADE COUNTY","NSSL CMS"
310,"RP79MO113","SOIL CHARACTERIZATION STUDY","NSSL CMS"
311,"RP79NM115","MORA COUNTY","NSSL CMS"
312,"CP79TX122","REEVES COUNTY","NSSL CMS"
313,"CP79NE123","FRONTIER AND GOSPER COUNTIES","NSSL CMS"
314,"RP79NE125","CHASE COUNTY","NSSL CMS"
315,"RP79NE129","COLFAX COUNTY","NSSL CMS"
316,"CP79AR131","TYPE LOCATION CHARACTERIZATION","NSSL CMS"
317,"CP79MO132","NORTHWEST MISSOURI MOLLISOLS","NSSL CMS"
318,"RP79SD137","FALL RIVER COUNTY","NSSL CMS"
319,"RP79GA139","LONG COUNTY","NSSL CMS"
320,"RP79NY142","INTERLABORATORY CHECKS","NSSL CMS"
321,"RP79TQ144","PALAU CAROLINE ISLANDS","NSSL CMS"
322,"CP79CA152","ERODIBILITY STUDY, CAL-DAVIS","NSSL CMS"
323,"CP79TX153","HARD-SETTING SOILS","NSSL CMS"
324,"CP79TX154","REDBED STUDY","NSSL CMS"
325,"RP79GA157","CARNIGIE SERIES","NSSL CMS"
326,"CP79NE163","FILLMORE COUNTY","NSSL CMS"
327,"RP79WY164","SHOSHONE NATIONAL FOREST","NSSL CMS"
328,"RP79TQ165","CAROLINE ISLANDS","NSSL CMS"
329,"RP79NE167","HAMILTON COUNTY","NSSL CMS"
330,"CP79WY168","BIG HORN AND PARK COUNTIES","NSSL CMS"
331,"RP79CO169","MONTROSE AND SAN MIGUEL COUNTIES","NSSL CMS"
332,"RP79SD175","BRULE COUNTY","NSSL CMS"
333,"CP79CA186","MERCED, SACREMENTO AND SAN JOAQUIN COUNTIES","NSSL CMS"
334,"CP79WV188","NICHOLAS COUNTY","NSSL CMS"
335,"CP79NE190","BOX BUTTE COUNTY","NSSL CMS"
336,"CP79TX191","VICTORIA COUNTY","NSSL CMS"
337,"CP79IN192","DRAINAGE EVALUATION STUDY","NSSL CMS"
338,"CP79NV193","BUREAU OF LAND MANAGEMENT","NSSL CMS"
339,"RP79NE194","SALINE COUNTY","NSSL CMS"
340,"RP79NE195","MORRILL COUNTY","NSSL CMS"
341,"CP79AZ197","COCHISE COUNTY, DOUGLAS-TOMBSTONE AREA","NSSL CMS"
342,"CP79CA198","ERODIBILITY STUDY, CAL-DAVIS","NSSL CMS"
343,"CP79VT199","WINDHAM COUNTY","NSSL CMS"
344,"CP79FN204","SYRIA-LEBANON","NSSL CMS"
345,"RP79WA205","KING AND PIERCE COUNTIES-SPODIC ANALYSIS","NSSL CMS"
346,"CP79KS207","NORTH CENTRAL KANSAS","NSSL CMS"
347,"CP79VT209","RUTLAND COUNTY","NSSL CMS"
348,"CP79TX210","FRIO AND ZAVALA COUNTIES","NSSL CMS"
349,"CP79TQ212","CAROLINE ISLANDS","NSSL CMS"
350,"RP79WA216","JEFFERSON COUNTY","NSSL CMS"
351,"CP79ID218","ELMORE AND OWYHEE COUNTIES","NSSL CMS"
352,"RP79CO219","MOUNTAIN RESEARCH STATION-LAB COMPARISON","NSSL CMS"
353,"RP79ID220","FRANKLIN COUNTY","NSSL CMS"
354,"RP79ID221","ELMORE COUNTY","NSSL CMS"
355,"CP79AL222","MONROE COUNTY AL RIV.TERRACE-CITRONELLE FM","NSSL CMS"
356,"RP79KS226","NEOSHO COUNTY","NSSL CMS"
357,"RP79KS227","CLARK COUNTY","NSSL CMS"
358,"CP79CO229","ALAMOSA-COSTILLA-EL PASO-SAGUACHE COUNTIES","NSSL CMS"
359,"RP79IL234","KNOX COUNTY BULK DENSITY","NSSL CMS"
360,"CP79ME235","NSSL SAMPLE LIBRARY","NSSL CMS"
361,"CP79NM238","MORA COUNTY","NSSL CMS"
362,"CP79WI240","FOREST, ONEIDA AND VILAS COUNTIES","NSSL CMS"
363,"CP79AK241","MATANUSKA-SUSITNA DIVISION","NSSL CMS"
364,"RP79CA242","EL DORADO NATIONAL FOREST","NSSL CMS"
365,"RP79NE243","TRAFFIC COMPACTION, MEAD","NSSL CMS"
366,"RP79SD247","HARDING COUNTY MINE TAILINGS RESEARCH","NSSL CMS"
367,"RP79NL248","NORTHEAST SOIL CHARACTERIZATION STUDY","NSSL CMS"
368,"CP79NE249","CLAY AND FILLMORE COUNTIES","NSSL CMS"
369,"CP79NM253","COLFAX COUNTY","NSSL CMS"
370,"CP79NE254","BOX BUTTE COUNTY","NSSL CMS"
371,"CP79NE256","MORRILL COUNTY","NSSL CMS"
372,"RP79FN258","MINERALOGY-WEST GERMANY","NSSL CMS"
373,"RP79CA259","LASSEN NATIONAL FOREST-LASSEN CINDER CONE","NSSL CMS"
374,"CP79OR260","LAKE COUNTY","NSSL CMS"
375,"CP79ID261","ADAMS AND WASHINGTON COUNTIES","NSSL CMS"
376,"CP79CA262","SAN BERNARDINO NATIONAL FOREST","NSSL CMS"
377,"CP79CA263","LOS PADRES NATIONAL FOREST","NSSL CMS"
378,"CP79NV264","WASHOE COUNTY","NSSL CMS"
379,"CP79CA265","KLAMATH NATIONAL FOREST","NSSL CMS"
380,"CP80TX007","NSSL SAMPLE LIBRARY","NSSL CMS"
381,"IP80NC008","LENOIR COUNTY","NSSL CMS"
382,"RP80NE009","COLFAX COUNTY","NSSL CMS"
383,"RP80FN010","ANDO SOILS, JAPAN","NSSL CMS"
384,"RP80NC012","AYCOCK STUDY","NSSL CMS"
385,"CP80TQ014","PALAU, CAROLINE ISLANDS","NSSL CMS"
386,"CP80NJ015","BERGEN AND PASSAIC COUNTIES","NSSL CMS"
387,"RP80WY016","SHOSHONE NATIONAL FOREST","NSSL CMS"
388,"CP80TX020","RANDALL COUNTY","NSSL CMS"
389,"RP80NC021","PONZER STUDY","NSSL CMS"
390,"RP80SD023","GREGORY COUNTY","NSSL CMS"
391,"RP80NE026","CEDAR COUNTY","NSSL CMS"
392,"CP80OR029","NSSL SAMPLE LIBRARY","NSSL CMS"
393,"CP80AL030","NSSL SAMPLE LIBRARY","NSSL CMS"
394,"RP80MO031","OZARKS GEOMORPHOLOGY STUDY","NSSL CMS"
395,"CP80OH033","DRAINAGE EVALUATION STUDY","NSSL CMS"
396,"CP80NE034","BUTLER, COLFAX, DODGE & MERRICK COUNTIES","NSSL CMS"
397,"RP80WI036","MARATHON COUNTY","NSSL CMS"
398,"CP80CA038","ERODIBILITY STUDY, CAL-DAVIS","NSSL CMS"
399,"RP80OK039","GRANT COUNTY","NSSL CMS"
400,"RP80VA041","PRINCE GEORGE COUNTY","NSSL CMS"
401,"RP80NE046","FILLMORE AND NEMAHA COUNTIES","NSSL CMS"
402,"CP80NE047","CUSTER AND FILLMORE COUNTIES","NSSL CMS"
403,"RP80NM048","CHAVES COUNTY","NSSL CMS"
404,"CP80NE049","CEDAR COUNTY","NSSL CMS"
405,"RP80WY052","SHOSHONE NATIONAL FOREST","NSSL CMS"
406,"CP80NE055","MORRILL COUNTY","NSSL CMS"
407,"RP80CO056","LA PLATA COUNTY","NSSL CMS"
408,"RP80TQ057","CAROLINE ISLANDS","NSSL CMS"
409,"RP80IN058","LABORATORY COMPARISON PURDUE UNIVERSITY","NSSL CMS"
410,"RP80NM060","LINCOLN COUNTY","NSSL CMS"
411,"CP80WV061","PENDLETON COUNTY","NSSL CMS"
412,"CP80NE062","BOX BUTTE AND HOLT COUNTIES","NSSL CMS"
413,"RP80SD067","JACKSON COUNTY","NSSL CMS"
414,"CP80TX068","ARANSAS-BROOKS-REFUGIO-WILLACY COUNTIES","NSSL CMS"
415,"CP80MO069","NORTHWEST MISSOURI MOLLISOLS","NSSL CMS"
416,"RP80MT071","FLATHEAD COUNTY","NSSL CMS"
417,"CP80NE076","MADISON COUNTY","NSSL CMS"
418,"CP80LA077","ST LANDRY PARISH","NSSL CMS"
419,"CP80VA078","MONTGOMERY COUNTY","NSSL CMS"
420,"CP80VA082","COASTAL PLAIN PROJECT USGS/SCS","NSSL CMS"
421,"RP80WI083","MARINETTE COUNTY","NSSL CMS"
422,"RP80SD087","MEADE COUNTY","NSSL CMS"
423,"CP80TQ089","CAROLINE ISLANDS","NSSL CMS"
424,"RP80TX090","ANGELINA COUNTY","NSSL CMS"
425,"CP80IL094","NSSL SAMPLE LIBRARY","NSSL CMS"
426,"CP80NE107","KNOX COUNTY","NSSL CMS"
427,"CP80TQ108","YAP ISLAND, CAROLINE ISLANDS","NSSL CMS"
428,"CP80CA110","ERODIBILITY STUDY, CAL-DAVIS","NSSL CMS"
429,"CP80AZ114","MARICOPA COUNTY","NSSL CMS"
430,"RP80TQ119","CAROLINE ISLANDS, PALAU GROUP","NSSL CMS"
431,"CP80TX124","WEBB COUNTY","NSSL CMS"
432,"CP80NV126","NYE COUNTY, BUREAU OF LAND MANAGEMENT","NSSL CMS"
433,"CP80NE127","BROWN AND ROCK COUNTIES","NSSL CMS"
434,"RP80NE128","HAMILTON COUNTY","NSSL CMS"
435,"RP80NM129","CATRON COUNTY","NSSL CMS"
436,"RP80AR132","CLARK COUNTY","NSSL CMS"
437,"RP80KY143","MONTGOMERY AND SIMPSON COUNTIES","NSSL CMS"
438,"RP80TQ149","PALAU, CAROLINE ISLANDS","NSSL CMS"
439,"CP80GA163","COASTAL PLAIN PROJECT, VIRGINIA-GEORGIA","NSSL CMS"
